news_id,type,symbol,text,logit,prediction,sentiment_score
17,Summary,FPT,"the market capitalization ""evaporated"" 44,000 billion, but FPT stocks showed signs of ""rebirth"" 2 consecutive sessions increased over the weekend . foreign information technology (IT) revenue, an increase of 21% of SVCK, lower than forecast . SSI Research has expected the situation to improve under the Trump administration .","[0.046895794570446014, 0.9417116045951843, 0.01139258686453104]",negative,-0.8948158
18,Summary,FPT,"a leading software company in Vietnam is in the process of negotiating to become the main sponsor on Chelsea's shirt next season . on the evening of march 20, FPT representative confirmed that FPT was not a sponsor for Chelsea next season . with the achieved results, FPT has implemented 14% of the plan .","[0.3755054473876953, 0.0115960156545043, 0.612898588180542]",neutral,0.36390942
19,Summary,FPT,Chelsea is negotiating with FPT Software to become his main sponsor next season . there is currently no information about the estimated value of the agreement . the above amount is equivalent to nearly 20% of FPT 2024 profits .,"[0.04375474154949188, 0.015059128403663635, 0.9411861896514893]",neutral,0.028695613
20,Summary,FPT,"FPT Telecom has just announced documents of the 2025 Annual General Meeting of Shareholders scheduled to take place on April 10 . with more than 492.5 million circulating shares, FPT Telecom attended nearly 2,500 billion to pay dividends in 2024 . with the achieved results, FPT Telecom has exceeded the 2024 plan .","[0.9351266622543335, 0.01439732126891613, 0.05047595873475075]",positive,0.92072934
21,Summary,FPT,"FPT Group announces business results in first 2 months of 2025 . revenue of 10,438 billion dong and MAU reached 1,885 billion dong . profit after tax for parent company shareholders increased by 21.1% to VND 1,378 billion .","[0.9583892822265625, 0.01648160256445408, 0.025129202753305435]",positive,0.9419077
22,Summary,FPT,"a dozen years ago, the most popular stock, accounting for the largest proportion of most of the funds of Vinamilk (VNM) by 2021, the ""national stock"" belonged to Hoa Phat (HPG) with the profit explosion of the steel industry . after a period of galloping from the middle of 2023 to the end of 2024, the profit -taking move or decreasing the proportion of FPT took place .","[0.14780260622501373, 0.3393169641494751, 0.5128804445266724]",neutral,-0.19151436
23,Summary,FPT,"the leading technology group in Vietnam is not out of the trend of selling technology shares globally . FPT shares have fallen by more than 4% with a record high liquidity of more than 18 million units . compared to the peak at the end of last year, FPT lost more than 19% of the market price .","[0.006644005421549082, 0.9734171032905579, 0.019938873127102852]",negative,-0.9667731
24,Summary,FPT,"the market capitalization ""evaporates"" hundreds of billion dollars in a short time . india's leading software service company, Infosys, also lost 21% from the nearest peak in mid -2024 . the rise of startups from china such as the low -cost AI Deepseek is raising investors' concerns .","[0.01105012372136116, 0.9724094867706299, 0.016540396958589554]",negative,-0.9613594
25,Summary,FPT,FPTC's shares were the most powerful foreign investors in the last 14/3 session . issues related to artificial intelligence (AI) can be a factor affecting FPT over the past time . the introduction of the low -cost AI model from china raises investors' concerns .,"[0.1090754047036171, 0.5486984252929688, 0.34222611784935]",negative,-0.43962303
26,Summary,FPT,"on march 13, the stock market continued to record the impression of the stock group of the Vingroup ecosystem . the stockingroup has increased the ceiling price of 51,400 VND/share, reaching the highest peak in the past 18 months . the increase in stocks helps the market capitalization of the above enterprises also increase sharply .","[0.9540859460830688, 0.01483625266700983, 0.031077811494469643]",positive,0.9392497
27,Summary,FPT,"at the end of the session on March 12, FPT shares of FPT decreased by 1.16% to VND 135,900/share . the total volume of shares traded nearly 6.2 million shares .","[0.007039239630103111, 0.9701411724090576, 0.022819528356194496]",negative,-0.9631019
28,Summary,FPT,"FPT has just signed a $ 67 million frame contract with Aryadhana KMP . the agreement has a 5 -year term, focusing on ESG practice of KMP Aryadhana . digital transformation plays a key role, contributing to enhancing creative innovation capacity of KMP in Yogyakarta province .","[0.8559481501579285, 0.0062480587512254715, 0.13780377805233002]",positive,0.8497001
29,Summary,FPT,"FPT Joint Stock Company has just worked with Thai Binh province on cooperation in education and digital transformation . FPT proposes to be introduced with an area of about 5 hectares to build a FPT education complex (Unischool model) and land areas from 7,000 - 10,000 m2 to develop a small -scale school system (Minischool model)","[0.2839573323726654, 0.00778241129592061, 0.7082602381706238]",neutral,0.27617493
30,Summary,FPT,"small and medium enterprises in Vietnam break through in the new era, says the prime minister . he also personally presided over a business meeting in early 2025 on tasks and solutions for private enterprises . if you grow ""Binh Binh"", you cannot achieve 2 development goals of 100 years, he says .","[0.20110894739627838, 0.02654358372092247, 0.7723474502563477]",neutral,0.17456536
31,Summary,FPT,"this is the first international short -term smart automotive software development program in Vietnam . the program lasts for 4 semesters (2 years), providing basic to advanced programming, simulation, software testing and applying industrial standards . students will be granted the advanced diploma in automotive software development (ADAS) issued by Cranes Varsity .","[0.12228724360466003, 0.010142937302589417, 0.8675698041915894]",neutral,0.11214431
32,Summary,FPT,"on February 24, 2025, FPT Group signed with Cranes Varset - one of the leading technology training organizations in India, transferring the training program for smart automotive software development (Automotive). the program lasts for 2 years, including 4 semesters, providing basic to advanced programming, simulation, software testing and applying industrial standards . students will study with businesses, work directly with leading experts, to be ready to work immediately after graduation .","[0.3867080807685852, 0.008831297978758812, 0.6044606566429138]",neutral,0.3778768
33,Summary,FPT,"the new building is located right next to the old institute's facility on Higashinimpori Street, Arakawa City, Tokyo . the two buildings of FPT Japan Academy are owned by the Group .","[0.027065133675932884, 0.01937834545969963, 0.953556478023529]",neutral,0.007686788
34,Summary,FPT,"the proposed project scale is expected to be 50.6 ha . investors will build a research center for artificial intelligence training more than 81,600m2 . the project is expected to have a population of about 20,000 people .","[0.12736040353775024, 0.008225111290812492, 0.8644144535064697]",neutral,0.11913529
35,Summary,FPT,"the project aims to promote the development of SAP (SAP BTP) technology platform in Japan . the goal is to expand the team of experts in this segment to 1,000 people in 2025 . the project is also aimed at addressing the shortage of BTP SAP experts in Japan .","[0.6694850325584412, 0.009294156916439533, 0.32122087478637695]",positive,0.6601909
36,Summary,FPT,"FPT expects revenue to reach 75,400 billion dong, up 20% compared to 2024 . profit before tax reached 13,395 billion dong, up 21% . in the field of IT, FPT predicts that all markets around the globe will grow strongly .","[0.9533803462982178, 0.015073715709149837, 0.03154591843485832]",positive,0.9383066
37,Summary,FPT,"the People's Committee of Da Nang City has submitted to the People's Council to unify the policy of putting into operation a number of items that have completed the infrastructure of software park no. 2 . software park no. 2 includes 3 ITC, ITC1, ITC3 buildings invested nearly VND 1,400 billion .","[0.1377185881137848, 0.009865677915513515, 0.8524157404899597]",neutral,0.12785292
38,Summary,FPT,"a total of 22,000 people have just joined the FPT system this year . the number of personnel of the entire FPT system has only increased by 11,000 people . the matriculation rate in FPT is only about 6%, slightly higher than the rate of passing .","[0.13456127047538757, 0.02057727612555027, 0.8448615074157715]",neutral,0.113983996
39,Summary,FPT,"Báo cáo v th trng trung tâm d liu (data center) ca Savill cho bit, tnh n cui qu 1/2024, Vit Nam có 33 trung tâm d liu do 48 nhà cung cp dch v vn","[0.08858921378850937, 0.02018716186285019, 0.8912235498428345]",neutral,0.06840205
40,Summary,FPT,"FPT launched an office in Pangyo, enhancing the presence in Korea . the new office gives FPT the advantages in optimizing operation . it is also a prime location to help FPT expand customer files in key industries .","[0.9031378626823425, 0.006584248039871454, 0.09027798473834991]",positive,0.89655364
41,Summary,FPT,"foreign fund from china continues to have a 3rd quarter consecutive capital withdrawal . at 31/12/2024, the fund had 3.21 billion fund certificates (CCQ), down 140 million CCQ . list of stocks accounted for 93.34% of the fund's NAV, equivalent to 4.5 billion RMB .","[0.006798547692596912, 0.9695037603378296, 0.02369769662618637]",negative,-0.9627052
42,Summary,FPT,"he proposed to liberate the science and technology potential . he also suggested ""popular AI"" in the past . most need is the role of the State, directing it to make Vietnam a nation of artificial intelligence .","[0.07812318950891495, 0.015239274129271507, 0.9066376090049744]",neutral,0.06288391
43,Summary,FPT,"bank group accounted for 56% of the total profit before tax in 2024 . the second is the real estate group but much smaller, accounting for 9.7% . if ""paying"" Vingroup (VIC) about the real estate group instead of the automobile industry, the profit of the real estate giants is 68,162 billion .","[0.033556271344423294, 0.03392169252038002, 0.9325221180915833]",neutral,-0.000365421
44,Summary,FPT,"in 2024, FPT recorded a revenue of VND 62,849 billion and profit before tax of VND 11,071 billion . profit after tax in 2024 reached VND 9,420 billion, up 21% compared to 2023 . in the stock market, FPT shares also grew positively and with the business results .","[0.960858166217804, 0.018417298793792725, 0.020724501460790634]",positive,0.94244087
45,Summary,FPT,"the revenue of the land of the country has increased by 32.2% over the same period . this result comes from strategic projects in the fields of modernization of the Legacy Modernization, Geopolitical Risk Management (GRM), Automotive and AI .","[0.9282854199409485, 0.008630657568573952, 0.0630839392542839]",positive,0.9196548
46,Summary,FPT,"Yin Yang Ngu Hanh has shared the relationship with the development of FPT Corporation . according to Chairman Truong Gia Binh, each development will need harmony of Yin and Yang - the five elements .","[0.15448430180549622, 0.011596097610890865, 0.8339195847511292]",neutral,0.1428882
47,Summary,FPT,"the company's revenue in the Japanese market in 2024 grew 32.2% over the same period (up 36.3% according to Japanese Yen) this success comes from strategic projects in the fields of modernization, geopolitical risk management (GRM), optimizing the business operation system (ERP), Automotive and AI .","[0.9191604852676392, 0.008883521892130375, 0.07195603847503662]",positive,0.91027695
48,Summary,FPT,"a short video was shared about the ""rebirth"" cover of FPT Chairman Truong Gia Binh . the video shows the youthful energy of the head of FPT in the middle of the ""Deepseek storm"" he used the story of Deepseek to inspire the group's team .","[0.09775210171937943, 0.017318345606327057, 0.8849295377731323]",neutral,0.080433756
49,Summary,FPT,"the story of the cheap (AI) model from China called Deepseek is the focus of global technology investors . ""Deepseek does not need too great resources but still create an incredible achievement,"" said FPT Chairman .","[0.7776117324829102, 0.008153782226145267, 0.21423447132110596]",positive,0.76945794
50,Summary,FPT,"with more than 1.47 billion listed shares, the market capitalization of this technology enterprise has ""flew"" more than 11,600 billion VND in just one session . the value of FPT shares in the hands of the founders of the Group decreased .","[0.016794415190815926, 0.9382629990577698, 0.044942617416381836]",negative,-0.92146856
51,Summary,FPT,"in a video shared on social networks, Mr. Truong Gia Binh - FPT Chairman had a ""rebirth"" cover at the spring with the Group staff . the joy of the new year is somewhat ""less happy"" when FPT shares dropped sharply on the first day of the stock market reopened .","[0.01631755754351616, 0.9637202024459839, 0.019962290301918983]",negative,-0.94740266
52,Summary,FPT,"deepseek from china is becoming the focus of attention of global technology investors . only the ""giants"" of the NVIDIA semiconductor chip ""evaporate"" US $ 600 billion in market capitalization . the cost that Deepseek introduces is still a big question mark .","[0.08705204725265503, 0.11376017332077026, 0.7991877794265747]",neutral,-0.026708126
53,Summary,FPT,"th nht, anh Trng Gia Bnh cùng các lnh o FPT nhn ra rng nu ch trung vào th trng Vit Nam lc ó quá bé so vi tham vng ca FPT .","[0.3481684625148773, 0.04952209070324898, 0.6023094058036804]",neutral,0.29864636
54,Summary,FPT,mt doanh nghip cng s phi xung dc sau khi lên n n nh nu không có nhng nh cao mi. Trong cuc tr chuyn trc khonh khc  chuy,"[0.06447960436344147, 0.06661839783191681, 0.8689019680023193]",neutral,-0.002138794
55,Summary,FPT,"the technology block contributed the largest to the company's business results in 2024 . foreign IT services continued to achieve a high growth of 27.4% to VND 30,953 billion .","[0.9514561295509338, 0.013767044991254807, 0.03477678820490837]",positive,0.93768907
56,Summary,FPT,"this is the first time this stock has surpassed the peak since the beginning of 2025 . this is the first time this stock has surpassed the peak since the beginning of 2025 . FPT's market capitalization accelerated to a record high, nearly 230,000 billion VND (US $ 9 billion)","[0.9521441459655762, 0.019717438146471977, 0.028138447552919388]",positive,0.9324267
57,Summary,FPT,"seminars with the theme: ""Investment in high -tech development in Vietnam - taking off in the smart era"" held in the framework of the mission of the Prime Minister and the high -ranking delegation of Vietnam attending the 55th annual conference of the world economic forum .","[0.09306498616933823, 0.01126829907298088, 0.895666778087616]",neutral,0.08179669
58,Summary,FPT,"net revenue of 4,811 billion VND, an increase of 17% over the same period 2023 . profit after tax belongs to the parent company's shareholders reaching nearly 721 billion dong, also increased by 26% over the same period 2023 .","[0.9577836394309998, 0.015127746388316154, 0.027088601142168045]",positive,0.9426559
59,Summary,FPT,"as of December 31, 2024, Vietnam's stock market had 50 enterprises achieving the market capitalization of over 1 billion USD (billion dollars) if looking at the area, there are 27 billion -dollar enterprises registered in Hanoi capital . Hoan Kiem is the district with the most dollar units' headquarters, with a total market capitalization value of 56.2 billion dollars .","[0.07534460723400116, 0.012536374852061272, 0.9121190309524536]",neutral,0.06280823
60,Summary,FPT,"the program is implemented nationwide, bringing the opportunity to win to all customers across the country . the prize of the poison ""golden snake"" worth 1 gold tree 9999 and a series of other valuable gifts . the dialing ceremony announced the winning list will be live streamed on the official channel FPT Store .","[0.1937670111656189, 0.009202986024320126, 0.797029972076416]",neutral,0.18456402
61,Summary,FPT,"Ms. Thanh Thanh holds 21.822.467 FPTV and 1,667,575 FOX shares of FPT Telecommunications Joint Stock Company . within 1 year, her property increased by VND 1,580 billion at the age of 74 .","[0.12790200114250183, 0.010329063981771469, 0.8617689609527588]",neutral,0.11757293
62,Summary,FPT,"phiên giao dch ngày 31/12/2024, c phiu FPT óng ca ti 153.000 ng/cp, tang gn 86% t u nam và thit lp mc giá tr vn hóa th trng h","[0.08074061572551727, 0.018362680450081825, 0.9008967280387878]",neutral,0.062377937
63,Summary,FPT,"a total of 22,000 people have just joined the FPT system this year . the group aims to create 1 million people as an information technology to 2035 . the group has 6,610 employees working abroad, of which Japan contributes more than 3,200 people .","[0.1009717807173729, 0.010313397273421288, 0.8887148499488831]",neutral,0.09065838
64,Summary,FPT,"the stock market traded gloomy on the last day of 2024, FPT shares again ""as usual"" since the beginning of 2024, the market price of FPT has increased by about 85% . the market capitalization also has a new record of VND 225,000 billion (US $ 9 billion)","[0.9346901774406433, 0.012004612945020199, 0.053305238485336304]",positive,0.92268556
65,Summary,FPT,"on the morning of December 22, Metro Line No. 1 Ben Thanh - Suoi Tien in Ho Chi Minh City officially operated . the grade -1 urban railway has a total project investment of more than VND 43,700 billion from July 24, 2012 .","[0.12138812243938446, 0.009830954484641552, 0.8687809109687805]",neutral,0.11155717
66,Summary,FPT,"trung tâm tr tu nhân to (AI) ca th gii thu ht s ch  c bit công ngh toàn cu . trc ln tr li này, ""g khng l"" ngà","[0.2954162657260895, 0.038302142173051834, 0.6662815809249878]",neutral,0.2571141
67,Summary,FPT,"in mid -November 2024, FPT has officially launched FPT AI Factory in Vietnam and Japan . in addition, FPT's rent is competitive, on par with Japanese partners and much lower than global giants like Google and Microsoft .","[0.7370120286941528, 0.0726303979754448, 0.19035758078098297]",positive,0.6643816
68,Summary,FPT,"FPT Corporation (Code: FPT) has just announced the business results in the first 11 months of 2024 . revenue of 56,404 billion VND and profit before tax (LNTT) reached 10,239 billion VND, increasing by 19.5% and 19.8% respectively . in November 2024 alone, FPT's revenue and profit before tax reached 5,608 billion and 1,013 billion dong respectively .","[0.9274019002914429, 0.011673476547002792, 0.060924649238586426]",positive,0.91572845
69,Summary,FPT,SBI Holdings is considering investing in the data center business in Japan of FPT Corporation in late January 2025 . the goal is to hold the shares up to 35% . SBI said that AI will be increasingly widely applied in society .,"[0.17870183289051056, 0.007791430689394474, 0.8135067224502563]",neutral,0.1709104
70,Summary,FPT,"this is the second time Mr. Huang has come to Vietnam, after the first time in December 2023 . NVIDIA's partner, FPT, is strongly breaking down, setting ""unprecedented"" records . last month, the two parties opened an AI factory in Japan and expected new factories in the near future .","[0.7898499965667725, 0.015531567856669426, 0.19461846351623535]",positive,0.77431846
71,Summary,FPT,"in mid -November 2024, FPT has officially launched FPT AI Factory in Vietnam and Japan . SSI research estimates that this revenue is equivalent to about 5% estimated IT revenue in 2024 .","[0.41552743315696716, 0.010355757549405098, 0.5741168260574341]",neutral,0.40517166
72,Summary,FPT,"fpt shares have just made a strong breakthrough of 3.5% to VND 143,300/share . the market capitalization value also set a record of 212,000 billion VND (US $ 8.5 billion) on December 3, FPT will close the list of shareholders to receive advance dividends .","[0.07213716208934784, 0.07449270039796829, 0.8533700704574585]",neutral,-0.002355538
73,Summary,FPT,"despite struggling in the area of 1,200-1,300 points, FPT shares once again set up a new historic peak . after 11 months, FPT has increased by more than 70%, superior to VN-Index . the value of this technology corporation is firm in the top 3 largest listed businesses in vietnam .","[0.9450038075447083, 0.011492565274238586, 0.04350366070866585]",positive,0.93351126
74,Summary,FPT,"revenue in the quarter reached US $ 35.08 billion, up 17% compared to the previous quarter . in particular, the revenue from NVIDIA's data center accounted for the majority, reaching US $ 30.8 billion . in April 2024, FPTC, along with NVIDIA, announced the development of AI factory in Japan .","[0.917396068572998, 0.008750498294830322, 0.07385343313217163]",positive,0.9086456
75,Summary,FPT,"in the first 3 sessions of this week, foreign investors net sold about 4.2 million FPT shares . this move pushed foreign rooms at more than 45 million units, equivalent to more than 3% . the ownership of foreign investors in this technology stock has decreased below 46% .","[0.10158690810203552, 0.5945238471031189, 0.30388927459716797]",negative,-0.49293694
76,Summary,FPT,"FPT Software has just signed a $ 225 million contract from an american customer . the contract value is even greater than the sales of the 17th year since its establishment . in the third quarter of 2024, net sales and service provision reached VND 15,903 billion .","[0.7606315016746521, 0.016174988821148872, 0.22319354116916656]",positive,0.7444565
77,Summary,FPT,"FPT s t cc tng lai và sinh mnh vào AI “Hin ti, v xut khu phn mm, chng tôi ch ng sau n ” . chng tôi ang phn u lt v","[0.10851477831602097, 0.017378246411681175, 0.8741070032119751]",neutral,0.09113653
78,Summary,FPT,"the Board of Directors of FPT Group has approved the increase in charter capital . FPT Smart Cloud is a provider of high -tech solutions, especially AI services and cloud computing . by the end of September, FPT has 1 branch, 8 subsidiaries and 2 associated companies .","[0.2017868161201477, 0.007989313453435898, 0.7902239561080933]",neutral,0.1937975
79,Summary,FPT,"vinhomes (VHM) is the largest profit before tax in the third quarter of 2024 . it has reclaimed the top position from Vietcombank (VCB) after 2 quarters . out of the top 10 largest interest companies on the stock market, there are 8 banks .","[0.11251500993967056, 0.012493218295276165, 0.8749918341636658]",neutral,0.100021794
80,Summary,FPT,"total assets reached 67,581 billion dong, an increase of 7,300 billion dong from the beginning of the year . deposits and cash account for the largest proportion of FPT's asset structure . in terms of capital, FPT's total financial debt is at VND 14,600 billion at the end of the 3rd quarter of 2024 .","[0.6178288459777832, 0.011950613930821419, 0.3702206015586853]",positive,0.60587823
81,Summary,FPT,"from the beginning of the year until now, FPT has passed 35 times . compared to the beginning of 2024, FPT increased nearly 70% of the market price . the market capitalization of the largest technology group also set a record of nearly VND 207,000 billion .","[0.8597984313964844, 0.009097746573388577, 0.13110385835170746]",positive,0.8507007
82,Summary,FPT,"interest rate is expected to decrease a total of 1% this year and an additional 1% in 2025 is expected to support spending growth for information technology (IT) in the US . in the first half of 2024, the US market ranked third in the global IT service revenue, an increase of 14.8% over the same period .","[0.47695600986480713, 0.4841182231903076, 0.03892577439546585]",negative,-0.007162213
83,Summary,FPT,"compared to the beginning of 2024, FPT increased nearly 70% of the market price . FPTThang tender 29 large projects with a scale of over 5 million USD, up 19% . NPST reached 6,029 billion dong, up 20.7% over the same period of 2023 .","[0.9530348777770996, 0.01684749498963356, 0.030117586255073547]",positive,0.9361874
84,Summary,FPT,"the data center project in District 9 of FPT Group Joint Stock Company (stock code FPT) was delayed until 2025, instead of launching in the 3rd quarter as planned . the data center project in District 9 added 476 network cabinets, equivalent to an increase of 13% of the current capacity .","[0.6939772367477417, 0.024561595171689987, 0.2814611792564392]",positive,0.66941565
85,Summary,FPT,"the board of directors of LPBank-LPB has just added and updated documents of the Extraordinary General Meeting of Shareholders in 2024 . the bank is gradually asserting the position of one of the joint stock commercial banks with strong, efficient and sustainable growth .","[0.8689594864845276, 0.007288955617696047, 0.12375152111053467]",positive,0.86167055
86,Summary,FPT,"shares of Nvidia and Apple, Microsoft, Google all decreased from 0.68% to 2.1% . NVIDIA revenue reached US $ 30.04 billion, up 122% and profit of 16.95 billion USD .","[0.014624303206801414, 0.9634241461753845, 0.021951554343104362]",negative,-0.94879985
87,Summary,FPT,"the top 10 multi -industry private corporations submitted the largest budget in 2023 . the total amount of the budget of these top 10 multidisciplinary private corporations in 2023 reached more than VND 94,000 billion .","[0.09650139510631561, 0.014890952967107296, 0.8886076211929321]",neutral,0.08161044
88,Summary,FPT,"a lecturer exchanged messages in the direction of criticizing the student's homework . the school set up a review council, re -examination of exams and concluded the test reached 05 points . after recognizing the relevant information, the lecturer directly met, apologized to students .","[0.0694124773144722, 0.5002856850624084, 0.4303019046783447]",negative,-0.43087322
89,Summary,FPT,"FPTCHO has built a program and plan to implement happiness for partners, customers . the purpose is to seize opportunities and reduce risks . the group's business operations keep the growth rate of about 20% .","[0.7251356840133667, 0.007845810614526272, 0.26701846718788147]",positive,0.71728987
90,Summary,FPT,"the ranking of the top 10 largest capitalized enterprises on the market has also experienced significant fluctuations . over the past decade, never, in the top 10 largest capitalized enterprises on the market, there are not at least 3 banks . the first time in the past 10 years, the ranking of the top 5 largest capitalized enterprises in the market has the absence of private businesses .","[0.05418222397565842, 0.2587338089942932, 0.6870839595794678]",neutral,-0.20455158
91,Summary,FPT,"the term ""AI factory"" is often misunderstood . some people think that it alludes to integrate AI into production lines . in 2024, FPT announced a strategic cooperation with NVIDIA .","[0.5756415724754333, 0.0095982626080513, 0.41476020216941833]",positive,0.5660433
92,Summary,FPT,the board of directors expected the signed revenue to accelerate in the second half of 2024 . FPT won 27 large contracts (contracts worth over 5 million USD) the company has recorded a contract worth over 100 million USD (2 or 3 years),"[0.9456650614738464, 0.014490174129605293, 0.039844825863838196]",positive,0.9311749
93,Summary,FPT,"the first dividend advance in the 1/2024 in cash with the rate of 10% . with more than 1.46 million shares in circulation, FPT is expected to spend more than VND 1,460 billion to pay dividends to existing shareholders .","[0.12069036066532135, 0.009409354999661446, 0.8699003458023071]",neutral,0.11128101
94,Summary,FPT,có th nói t cc vào AI là chin lc quan trng nht trong lch s FPT . ông  Cao Bo - U viên HQT FPT – chia s trên trang thông tin ni b FPT C,"[0.05531453341245651, 0.027382366359233856, 0.9173030257225037]",neutral,0.027932167
95,Summary,FPT,"in the second quarter of 2024, FPT's LNTT reached VND 2,664 billion, up 20.1% over the same period last year . the net increased by 24% over the same period last year to VND 1,874 billion . in the first half of 2024, the Group continued to record many large orders from foreign markets .","[0.9574694037437439, 0.017188332974910736, 0.025342261418700218]",positive,0.9402811
96,Summary,FPT,"the market price of FPT is 139,600 VND/share, an increase of 68% after more than half a year . the group has a record of nearly VND 203,000 billion, ranked 3rd in the list of the most valuable listed companies in Vietnam . the funniest is probably the founders of the Group such as Chairman Truong Gia Binh and two long -term colleagues .","[0.2265242338180542, 0.01305046770721674, 0.7604252696037292]",neutral,0.21347377
97,Summary,FPT,"many experts believe that FPT and Vietnam have a great opportunity in the field of AI . for AI, Vietnam has the same departure line with advanced countries only a few years later . among 50 PhDs, there were 2 associate professors .","[0.20431150496006012, 0.014283381402492523, 0.7814051508903503]",neutral,0.19002813
98,Summary,FPT,"the 33rd time in Vietnam's leading technology company to bring shareholders to the top . the breakthrough of FPT's market capitalization set a record 202,600 billion VND . this is the first time in the history of nearly 18 years of listing, the capitalization value of VND 200,000 billion .","[0.7943781614303589, 0.00892632920295, 0.1966954618692398]",positive,0.7854518
